MESSAGE_CREATE,GUILD_MEMBER_UPDATE,TYPING_START
16838,14599,9388
16866,14612,9403
16893,14633,9429
16914,14644,9444
16940,14655,9466
16975,14674,9489
17001,14690,9514
17036,14707,9545
17066,14724,9570
17087,14733,9601
17116,14746,9623
17135,14767,9639
17153,14793,9655
17170,14835,9666
17197,14856,9688
17221,14870,9705
17246,14890,9722
17281,14899,9748
17311,14907,9769
17351,14922,9793
17366,14940,9808
17382,14951,9821
17401,14968,9837
17418,14977,9846
17441,14993,9860
17448,15010,9866
17454,15021,9873
17466,15036,9881
17485,15044,9891
17498,15056,9903
17522,15072,9917
17548,15084,9933
17568,15091,9942
17587,15110,9954
17609,15122,9962
17623,15135,9969
17639,15144,9978
17650,15155,9988
17659,15164,10000
17667,15166,10011
17685,15182,10019
17694,15191,10026
17720,15206,10039
17736,15225,10055
17759,15251,10072
17795,15263,10094
17834,15274,10107
17856,15292,10122
17869,15314,10134
17889,15331,10144
17900,15346,10151
17921,15369,10163
17934,15386,10170
17951,15392,10182
17969,15413,10190
17979,15424,10197
17994,15439,10201
18006,15452,10205
18025,15466,10212
18045,15484,10216
18056,15500,10218
18064,15520,10223
18084,15532,10232
18100,15546,10240
18107,15565,10244
18116,15576,10248
18124,15591,10248
18132,15609,10254
18149,15624,10259
18162,15640,10268
18173,15653,10274
18185,15666,10282
18210,15682,10296
18217,15693,10299
18228,15703,10303
18252,15725,10306
18268,15738,10310
18297,15767,10323
18324,15783,10336
18347,15791,10345
18362,15806,10354
18379,15816,10368
18402,15833,10380
18421,15849,10388
18439,15871,10405
18463,15881,10421
18492,15898,10441
18511,15922,10452
18531,15939,10467
18550,15952,10484
18590,15975,10501
18601,15993,10510
18618,15999,10521
18639,16019,10532
18667,16043,10548
18680,16060,10558
18694,16080,10578
18712,16098,10587
18731,16114,10592
18743,16132,10604
18760,16150,10619
18766,16161,10627
18778,16173,10636
18782,16189,10641
18788,16207,10648
18801,16222,10660
18826,16238,10676
18851,16256,10689
18881,16272,10708
18900,16283,10725
18925,16295,10741
18948,16308,10752
18971,16328,10763
18983,16345,10768
18994,16365,10770
19017,16379,10781
19034,16393,10787
19045,16404,10796
19055,16423,10804
19069,16444,10811
19085,16458,10814
19099,16473,10818
19140,16492,10824
19148,16511,10828
19167,16532,10833
19181,16545,10838
19204,16559,10842
19216,16578,10847
19228,16592,10852
19231,16612,10855
19233,16631,10858
19238,16647,10864
19246,16671,10875
19257,16686,10889
19279,16710,10901
19287,16730,10912
19318,16754,10920
19330,16775,10932
19350,16788,10951
19373,16805,10964
19405,16822,10982
19419,16830,10992
19438,16851,10999
19464,16867,11014
19474,16895,11025
19489,16906,11036
19500,16930,11045
19523,16950,11061
19537,16968,11065
19551,16982,11071
19563,16996,11079
19573,17018,11092
19600,17038,11110
19610,17056,11120
19632,17078,11136
19640,17088,11147
19651,17110,11159
19668,17121,11170
19674,17136,11177
19686,17153,11184
19694,17174,11193
19711,17188,11203
19725,17201,11213
19729,17215,11220
19744,17230,11228
19753,17252,11234
19768,17263,11246
19790,17278,11253
19806,17292,11257
19812,17308,11264
19819,17323,11272
19827,17333,11276
19844,17351,11290
19867,17376,11301
19880,17391,11305
19888,17405,11312
19913,17421,11323
19926,17443,11331
19942,17451,11344
19963,17474,11370
19977,17491,11378
19981,17512,11381
20019,17525,11405
20043,17542,11423
20056,17557,11433
20075,17580,11442
20091,17600,11458
20106,17620,11467
20122,17643,11477
20146,17661,11507
20177,17675,11535
20199,17698,11556
20224,17726,11576
20239,17747,11596
20273,17764,11613
20299,17788,11631
20321,17815,11652
20341,17832,11667
20362,17847,11685
20376,17865,11694
20420,17884,11706
20435,17902,11718
20452,17918,11731
20476,17945,11748
20494,17969,11769
20522,17993,11791
20546,18008,11808
20564,18030,11821
20601,18049,11844
20714,18069,11852
20790,18088,11865
20813,18104,11888
20883,18116,11913
20905,18133,11934
20924,18148,11948
20944,18164,11961
20976,18184,11979
21020,18204,11992
21063,18217,12007
21073,18242,12024
21114,18258,12049
21145,18277,12066
21169,18292,12094
21186,18313,12104
21211,18330,12127
21238,18350,12154
21254,18373,12178
21290,18390,12199
21349,18418,12217
21398,18428,12245
21430,18448,12266
21457,18474,12287
21489,18498,12314
21510,18515,12334
21549,18536,12370
21582,18551,12399
21614,18572,12420
21634,18587,12433
21657,18612,12449
21688,18633,12477
21723,18662,12504
21744,18703,12520
21771,18734,12541
21791,18766,12556
21818,18811,12572
21830,18843,12584
21839,18867,12594
21888,18898,12611
21911,18921,12626
21942,18947,12646
21962,18978,12659
21973,19004,12663
22001,19027,12685
22021,19073,12693
22036,19109,12706
22050,19145,12719
22060,19171,12726
22077,19196,12747
22092,19228,12759
22117,19263,12781
22151,19287,12802
22182,19310,12826
22208,19339,12853
22234,19370,12886
22275,19408,12917
22295,19447,12934
22312,19473,12945
22330,19502,12965
22356,19534,12979
22392,19570,12999
22437,19616,13020
22467,19651,13040
22499,19675,13053
22517,19695,13066
